ShipmentID,OrderDate,ShipDate,DeliveryDate,DateKey,CarrierKey,WarehouseKey,ShipModeKey,ProductCategoryKey,DestinationKey,PackageCount,TotalWeightLbs,ShippingCost,TargetDeliveryDays,ActualDeliveryDays,OnTimeFlag,DamageFlag,ReturnFlag,CustomerSatisfactionScore
SHP-000001,2024-02-18,2024-02-18,2024-02-25,20240218,3,1,2,5,24,3,89.0,257.19,4,7,0,0,0,2
SHP-000002,2024-09-19,2024-09-21,2024-09-26,20240919,4,2,2,8,22,1,13.1,72.59,4,5,0,0,0,4
SHP-000003,2024-04-25,2024-04-25,2024-05-01,20240425,7,2,1,6,30,2,8.2,21.17,7,6,1,0,0,4
SHP-000004,2023-08-10,2023-08-11,2023-08-15,20230810,3,5,6,3,2,6,2.1,49.46,0,4,0,0,0,3
SHP-000005,2023-03-30,2023-03-30,2023-04-14,20230330,7,2,1,1,21,4,3.6,14.02,7,15,0,0,0,5
SHP-000006,2024-05-02,2024-05-04,2024-05-14,20240502,3,5,5,7,4,2,1.9,7.02,10,10,1,0,0,5
SHP-000007,2024-07-28,2024-07-29,2024-08-07,20240728,2,3,1,3,22,5,1.5,15.07,7,9,0,0,0,2
SHP-000008,2023-12-11,2023-12-12,2023-12-16,20231211,2,2,4,1,30,4,5.9,77.0,2,4,0,0,0,2
SHP-000009,2023-11-15,2023-11-15,2023-11-26,20231115,4,4,1,5,15,2,155.3,56.83,7,11,0,0,0,1
SHP-000010,2023-10-28,2023-10-30,2023-11-10,20231028,3,3,5,7,29,5,4.7,27.22,10,11,0,0,0,3
SHP-000011,2024-09-25,2024-09-26,2024-09-29,20240925,4,3,3,1,22,2,5.7,46.02,1,3,0,0,0,4
SHP-000012,2023-09-25,2023-09-27,2023-10-02,20230925,4,4,3,6,22,5,6.3,26.79,1,5,0,0,0,5
SHP-000013,2023-06-21,2023-06-22,2023-06-28,20230621,7,4,2,5,7,2,153.1,349.86,4,6,0,0,1,1
SHP-000014,2023-11-03,2023-11-05,2023-11-12,20231103,5,2,2,2,28,1,162.9,173.14,4,7,0,0,0,4
SHP-000015,2024-04-02,2024-04-03,2024-04-17,20240402,3,3,5,5,7,3,69.2,112.18,10,14,0,0,0,5
SHP-000016,2024-05-05,2024-05-06,2024-05-14,20240505,3,1,2,4,15,4,28.5,31.45,4,8,0,0,0,1
SHP-000017,2024-11-27,2024-11-28,2024-12-10,20241127,5,2,2,3,19,1,13.8,26.47,4,12,0,0,0,4
SHP-000018,2023-06-12,2023-06-13,2023-06-14,20230612,4,2,4,2,16,2,50.9,215.28,2,1,1,0,0,5
SHP-000019,2023-06-27,2023-06-29,2023-07-05,20230627,2,6,4,2,24,3,42.6,151.27,2,6,0,0,0,3
SHP-000020,2023-06-20,2023-06-22,2023-06-30,20230620,3,3,2,1,29,2,5.5,37.63,4,8,0,0,0,1
SHP-000021,2024-10-20,2024-10-20,2024-10-24,20241020,7,6,6,2,26,2,163.1,402.41,0,4,0,0,0,4
SHP-000022,2023-06-15,2023-06-16,2023-06-26,20230615,5,3,5,1,19,2,6.2,10.87,10,10,1,0,1,4
SHP-000023,2024-07-23,2024-07-23,2024-07-29,20240723,1,3,1,3,20,6,10.4,34.63,7,6,1,0,0,2
SHP-000024,2023-10-05,2023-10-07,2023-10-11,20231005,1,3,3,7,14,2,7.9,109.63,1,4,0,0,0,1
SHP-000025,2023-09-05,2023-09-05,2023-09-06,20230905,7,1,3,1,27,2,3.4,109.56,1,1,1,0,0,5
SHP-000026,2023-07-07,2023-07-09,2023-07-15,20230707,1,5,2,7,30,2,14.9,28.87,4,6,0,0,0,1
SHP-000027,2024-09-18,2024-09-20,2024-09-30,20240918,8,2,1,2,14,1,130.0,230.31,7,10,0,0,0,2
SHP-000028,2024-12-03,2024-12-05,2024-12-16,20241203,2,2,1,4,17,4,15.2,60.82,7,11,0,0,0,2
SHP-000029,2024-08-01,2024-08-03,2024-08-10,20240801,1,1,1,7,2,6,5.1,37.38,7,7,1,0,0,5
SHP-000030,2023-09-19,2023-09-21,2023-10-01,20230919,6,1,1,3,12,5,6.1,29.38,7,10,0,0,0,5
SHP-000031,2023-01-28,2023-01-29,2023-02-02,20230128,1,3,2,6,29,1,5.9,33.38,4,4,1,1,0,3
SHP-000032,2024-09-27,2024-09-28,2024-10-04,20240927,2,6,1,7,3,3,10.5,39.04,7,6,1,0,0,4
SHP-000033,2024-07-26,2024-07-27,2024-08-07,20240726,2,3,5,4,3,3,46.9,20.5,10,11,0,0,0,2
SHP-000034,2024-10-01,2024-10-03,2024-10-12,20241001,1,5,1,5,3,1,159.8,65.61,7,9,0,0,0,5
SHP-000035,2024-12-21,2024-12-21,2024-12-26,20241221,2,3,2,7,25,3,3.5,35.96,4,5,0,0,0,5
SHP-000036,2023-03-29,2023-03-31,2023-03-31,20230329,3,4,3,4,14,5,44.7,173.25,1,0,1,1,0,4
SHP-000037,2023-07-28,2023-07-29,2023-08-08,20230728,3,2,3,5,6,1,147.0,185.95,1,10,0,0,0,1
SHP-000038,2023-10-03,2023-10-05,2023-10-16,20231003,3,3,5,2,2,2,154.7,149.78,10,11,0,0,0,2
SHP-000039,2024-05-10,2024-05-11,2024-05-21,20240510,5,5,1,5,21,1,53.2,99.48,7,10,0,0,0,3
SHP-000040,2024-09-20,2024-09-20,2024-10-03,20240920,1,3,2,7,19,1,12.0,7.52,4,13,0,0,0,1
SHP-000041,2023-04-01,2023-04-01,2023-04-04,20230401,5,6,4,5,6,1,168.7,400.59,2,3,0,0,0,1
SHP-000042,2023-08-12,2023-08-13,2023-08-21,20230812,5,4,1,6,7,3,5.5,6.51,7,8,0,0,0,3
SHP-000043,2023-08-26,2023-08-27,2023-09-10,20230826,8,2,5,6,18,5,3.1,16.19,10,14,0,0,1,3
SHP-000044,2023-06-06,2023-06-08,2023-06-23,20230606,5,3,1,3,18,6,5.3,38.43,7,15,0,0,0,1
SHP-000045,2023-12-18,2023-12-18,2023-12-26,20231218,2,4,2,7,14,3,13.1,33.7,4,8,0,0,0,2
SHP-000046,2023-04-18,2023-04-19,2023-04-30,20230418,2,1,5,6,13,1,5.0,9.3,10,11,0,0,0,5
SHP-000047,2023-10-10,2023-10-10,2023-10-14,20231010,5,6,2,1,18,2,7.9,19.85,4,4,1,0,0,4
SHP-000048,2024-03-20,2024-03-21,2024-03-22,20240320,1,4,4,4,16,3,34.3,104.47,2,1,1,0,0,2
